Ref,Val,Package,PosX,PosY,Rot,Side
"C14","1uF","C_0603",49.410705,46.949611,90.000000,top
"C15","0.1uF","C_0603",44.076705,44.155612,90.000000,top
"C21","0.1uF","C_0603",42.418000,21.463000,-90.000000,top
"C22","0.1uF","C_0603",9.690100,24.091900,-45.000000,top
"C24","0.1uF","C_0603",42.367200,29.311600,90.000000,top
"C25","1uF","C_0603",52.933600,25.603200,0.000000,top
"C26","0.1uF","C_0603",52.933600,27.127200,180.000000,top
"C27","0.1uF","C_0603",49.657000,30.734000,0.000000,top
"C28","1uF","C_0603",52.578000,32.385000,180.000000,top
"C29","10uF","C_0603",49.657000,32.385000,0.000000,top
"C38","18pF","C_0603",41.173400,17.754600,180.000000,top
"C43","18pF","C_0603",34.747200,17.754600,0.000000,top
"C45","1uF","C_0603",18.122900,45.618400,0.000000,top
"C46","1uF","C_0603",22.313900,50.457100,0.000000,top
"D2","LED","LED_0603",45.974000,18.415000,-90.000000,top
"G***","LOGO","oshwa-logo-gear",11.163300,46.863000,0.000000,top
"P1","CONN_02X08","Pin_Header_Angled_2x08",21.590000,52.832000,90.000000,top
"P2","CONN_01X04","Socket_Strip_Straight_1x04",52.984400,23.063200,-90.000000,top
"P3","CONN_01X04","Socket_Strip_Straight_1x04",50.596800,12.649200,-135.000000,top
"P4","CONN_01X08","Socket_Strip_Straight_1x08",7.391400,36.906200,-45.000000,top
"P5","CONN_01X08","Socket_Strip_Straight_1x08",9.271000,38.735000,-45.000000,top
"R27","100K","R_0603",49.410703,44.155611,90.000000,top
"R28","100K","R_0603",44.076703,46.949611,90.000000,top
"R32","100K","R_0603",17.462500,49.517300,-90.000000,top
"R33","100K","R_0603",18.122900,47.167800,0.000000,top
"R37","100K","R_0603",40.398700,20.713700,180.000000,top
"R39","100","R_0603",8.051800,17.653000,-45.000000,top
"R40","1K","R_0603",8.890000,19.786600,-135.000000,top
"R41","1K","R_0603",10.033000,18.669000,-135.000000,top
"R42","1M","R_0603",8.610600,22.809200,-45.000000,top
"R43","1M","R_0603",12.852400,18.846800,-135.000000,top
"R47","1K","R_0603",44.323000,18.415000,-90.000000,top
"R49","470K","R_0603",22.313900,48.869600,0.000000,top
"SW1","CJS1200","CJS-1200TA",40.800000,37.000000,180.000000,top
"SW2","CJS1200","CJS-1200TA",36.400000,37.000000,180.000000,top
"SW3","CJS1200","CJS-1200TA",32.000000,37.000000,180.000000,top
"SW4","CJS1200","CJS-1200TA",27.600000,37.000000,180.000000,top
"SW6","TACT_SWITCH","PTS810",48.260000,24.892000,90.000000,top
"U6","LM7332","MSOP-8_3x3mm_Pitch0.65mm",46.743703,45.552611,-90.000000,top
"U7","MCP3912","SSOP-28_5.3x10.2mm_Pitch0.65mm",36.068000,26.441400,-90.000000,top
"U9","NCP551","SOT-23-5",52.755800,29.692600,90.000000,top
"U10","NCP300","SOT-23-5",56.134000,29.718000,90.000000,top
"U14","MCP6V13T","SOT-23-5",11.506200,21.259800,-45.000000,top
"U18","74LVC1G66","SC-70-5",15.163800,12.725400,-45.000000,top
"U19","74LVC1G66","SC-70-5",20.167600,7.543800,-45.000000,top
"U20","74LVC1G66","SC-70-5",17.653000,10.033000,-45.000000,top
"U21","74LVC1G66","SC-70-5",12.522200,15.163800,-45.000000,top
"U22","74LVC1G66","SC-70-5",22.682200,5.003800,-45.000000,top
"U25","MCP6V31U","SC-70-5",19.596100,49.606200,0.000000,top
"U28","TPD4E1B06","SC-70-6",25.500000,48.900000,-90.000000,top
"U29","TPD4E1B06","SC-70-6",36.766500,48.958500,-90.000000,top
"U30","TPD4E1B06","SC-70-6",31.178500,48.895000,-90.000000,top
"Y1","Crystal_Small","Crystal_HC49-SD_SMD",37.947600,14.122400,180.000000,top
